,JAHR,MONAT,WERT,date,diff
283,2000,200011,71.0,2000-11-01,-14.0
282,2000,200010,83.0,2000-10-01,12.0
281,2000,200009,84.0,2000-09-01,1.0
280,2000,200008,77.0,2000-08-01,-7.0
279,2000,200007,99.0,2000-07-01,22.0
278,2000,200006,57.0,2000-06-01,-42.0
277,2000,200005,96.0,2000-05-01,39.0
276,2000,200004,78.0,2000-04-01,-18.0
275,2000,200003,73.0,2000-03-01,-5.0
274,2000,200002,53.0,2000-02-01,-20.0
273,2000,200001,78.0,2000-01-01,25.0
271,2001,200112,66.0,2001-12-01,-12.0
270,2001,200111,68.0,2001-11-01,2.0
269,2001,200110,77.0,2001-10-01,9.0
268,2001,200109,107.0,2001-09-01,30.0
267,2001,200108,60.0,2001-08-01,-47.0
266,2001,200107,71.0,2001-07-01,11.0
265,2001,200106,68.0,2001-06-01,-3.0
264,2001,200105,85.0,2001-05-01,17.0
263,2001,200104,68.0,2001-04-01,-17.0
262,2001,200103,63.0,2001-03-01,-5.0
261,2001,200102,49.0,2001-02-01,-14.0
260,2001,200101,66.0,2001-01-01,17.0
258,2002,200212,63.0,2002-12-01,-3.0
257,2002,200211,44.0,2002-11-01,-19.0
256,2002,200210,83.0,2002-10-01,39.0
255,2002,200209,107.0,2002-09-01,24.0
254,2002,200208,71.0,2002-08-01,-36.0
253,2002,200207,84.0,2002-07-01,13.0
252,2002,200206,74.0,2002-06-01,-10.0
251,2002,200205,58.0,2002-05-01,-16.0
250,2002,200204,65.0,2002-04-01,7.0
249,2002,200203,61.0,2002-03-01,-4.0
248,2002,200202,49.0,2002-02-01,-12.0
247,2002,200201,44.0,2002-01-01,-5.0
245,2003,200312,58.0,2003-12-01,14.0
244,2003,200311,44.0,2003-11-01,-14.0
243,2003,200310,74.0,2003-10-01,30.0
242,2003,200309,63.0,2003-09-01,-11.0
241,2003,200308,66.0,2003-08-01,3.0
240,2003,200307,76.0,2003-07-01,10.0
239,2003,200306,82.0,2003-06-01,6.0
